Questions,Answers
"Vợ chồng tôi quyết định không còn cần tôi nữa cách đây sáu năm. Mọi chuyện trở nên tồi tệ đến mức chúng tôi đã ly thân nhưng vẫn sống chung một nhà. Anh ấy nói rằng anh ấy coi thường việc nhìn thấy tôi, muốn ở bên người phụ nữ khác và ly hôn. Điều tôi không hiểu là anh ấy liên tục nói rằng tôi không có tình cảm với anh ấy và ghen tuông một cách vô lý nếu tôi nói chuyện với một người đàn ông khác. Tại sao anh ta liên tục thực hiện những hành vi này? Tôi có thể nói thêm rằng anh ấy đã được chẩn đoán mắc chứng rối loạn nhân cách ranh giới và là một người tự ái.","Nghe có vẻ việc này khá khó khăn. Có vẻ như đôi khi vợ/chồng của bạn muốn bạn trở thành một phần trong cuộc sống của anh ấy (điều này có thể là một phần nguyên nhân dẫn đến sự ghen tuông) và đôi khi anh ấy thì không. Nói về điều này có thể sẽ là một cuộc trò chuyện tế nhị và từ những gì bạn đề cập đến thì anh ấy đã được chẩn đoán mắc bệnh, tôi tự hỏi liệu anh ấy có bác sĩ trị liệu hay không. Nếu vậy, bạn có biết liệu anh ấy có cho phép bạn đến dự một buổi để bạn có thể tìm hiểu thêm về cảm giác của anh ấy không? Có lẽ anh ấy sẽ sử dụng nó nhiều hơn vì trong môi trường khép kín của một văn phòng trị liệu. Bằng cách này ít nhất bạn sẽ biết anh ấy đến từ đâu. Bạn cũng có thể hỏi liệu anh ấy có thể nghe thấy những gì bạn muốn, mong muốn hoặc khao khát giữa hai người hay không. Hãy nhớ rằng, chỉ vì bạn nghe hoặc làm theo những gì anh ấy nói không có nghĩa là bạn đồng ý với anh ấy, mặc dù bản thân khái niệm đó có thể là chủ đề thảo luận vì không phải ai cũng biết về nó. Tôi hy vọng rằng bạn có thể giữ vững con người của mình và những gì bạn muốn trong suốt thời gian này."
"Mỗi khi đối tác của tôi tức giận vì bất cứ điều gì, cô ấy sẽ trút giận lên tôi. Tôi không làm gì là đúng cả, và một khi cô ấy nổi điên, cô ấy gọi tôi bằng đủ thứ tên và chửi bới tôi. Cô ấy nói rằng đó không phải là lạm dụng, đó chỉ là sự chửi bới giận dữ bằng lời nói và điều đó hoàn toàn khác. Nó trở nên tồi tệ hơn mỗi lần. Những cái tên bây giờ rất thô tục.","Một điều bạn có thể thử là nói chuyện với đối tác của mình khi cô ấy không tức giận về những điều sau: <ul><li>Nếu cô ấy tức giận, có thể cô ấy có thể nói chuyện với bạn về điều cô ấy tức giận thay vì gọi tên bạn.</li ><li>Nếu cô ấy tức giận và sau đó bình tĩnh lại, có thể một trong hai bạn có thể tạm dừng cuộc thảo luận và ấn định thời gian quay lại.</li><li>Thảo luận về nội dung đó. là điều bạn thấy có thể chấp nhận được khi làm trong một cuộc tranh cãi</li><li>Thảo luận về điều mà bạn thấy không thể chấp nhận được khi làm trong một cuộc tranh cãi</li><li>Thảo luận về những điều cô ấy có thể làm trong khi tranh luận một cuộc tranh cãi</li><li>Thảo luận xem cô ấy có thể làm gì trong một cuộc tranh cãi</li><li>Đối tác của bạn có thể trả lời những câu hỏi tương tự liên quan đến cô ấy và bạn.</li></ul> Tôi không thể nhấn mạnh đủ tầm quan trọng của việc thảo luận này khi không có tranh cãi nào xảy ra. Có lẽ bạn có thể đề cập rằng bạn muốn nói về điều gì đó thực sự quan trọng và xem liệu thời điểm hiện tại có phải là thời điểm thích hợp hay không. Nếu không, hãy cân nhắc thời điểm thích hợp trong 24 đến 48 giờ tới. Việc thảo luận những ý tưởng này với một nhà trị liệu địa phương cũng có thể hữu ích. Nhà trị liệu cũng có thể giúp cả hai bạn tìm ra nguyên nhân cơn giận đến từ đâu và cô ấy đã học được cách phản ứng như vậy từ đâu. Nếu đó là sự lạm dụng, việc có những cuộc thảo luận quan trọng này có thể còn khó khăn hơn. Bạn có thể tự mình đến gặp bác sĩ trị liệu tại địa phương để đánh giá những vấn đề như sự an toàn về thể chất và tinh thần<span style=""line-height: 1.42857;"">.</span>"
"Tôi luôn nghĩ rằng ngoài kia không có nhiều điều tốt đẹp dành cho tôi. Bây giờ mọi việc thực sự đang diễn ra tốt đẹp, điều đó làm tôi thấy sợ. Tôi đã dành phần lớn cuộc đời mình với cảm giác không được mong muốn và nghĩ rằng mình sẽ cô đơn. Gần đây tôi đã gặp một người phụ nữ tuyệt vời có vẻ thực sự thích tôi và tôi không biết phải giải quyết vấn đề này như thế nào. Nó đang làm phiền cả hai chúng ta.","Điều này có thể thực sự gây lo lắng khi bạn chưa từng cảm thấy điều đó trước đây. Có thể hữu ích nếu bạn giải quyết một số vấn đề này với một nhà trị liệu địa phương để bạn có thể có được những ý tưởng cụ thể hơn. Một số điều khác nảy ra trong đầu tôi có thể là dành khoảng 10 phút để thảo luận về cảm giác của bạn và xem liệu đối tác của bạn có sẵn sàng lắng nghe hay không. Sau đó, bạn có thể đặt câu hỏi xem cô ấy sẽ phản ứng thế nào nếu bạn làm điều gì đó mà cô ấy không thích. Điều này cho phép bạn phản ứng với thông tin cô ấy thực sự cung cấp cho bạn thay vì nhận thức của bạn nghe có vẻ khác với những gì cô ấy đang cố nói với bạn. Điều này mang lại cho bạn sức mạnh để nhận những tin nhắn mà cô ấy đang gửi cho bạn. Tôi cũng tự hỏi bạn đã học được từ đâu rằng ngoài kia không có nhiều điều tốt đẹp dành cho bạn và làm thế nào bạn có thể hiện diện trong khoảnh khắc khi bạn ở bên bạn gái và thấy rằng cô ấy muốn ở đó với bạn. Có lẽ bạn có thể nhìn vào điều gì khiến bạn cảm thấy an toàn và tin tưởng về mặt cảm xúc với cô ấy và tập trung vào điều đó. Bạn thậm chí có thể nhắc nhở bản thân ""được rồi, tôi ở đây với [tên bạn gái] và điều này sẽ ổn khi tôi ở bên cô ấy."" Tất cả chúng ta đều có mức độ phòng thủ khác nhau trong những tình huống mà những người khác nhau. Mọi người thường thấy những thứ này có màu đen và trắng (hoàn toàn cởi mở hoặc rất tự bảo vệ. Trên thực tế, nó giống cầu vồng hơn và các sắc thái màu khác nhau có sẵn trong quang phổ cầu vồng của ánh sáng trắng (không phải vậy). thực ra chỉ là đỏ, cam, vàng, lục, lam, chàm, tím mà tất cả chúng ta đều biết, nhưng có vô số sắc thái màu nhạt dần từ màu này sang màu khác). vị trí bạn đang ở, tâm trạng của cả hai bạn, chủ đề, v.v. Có vô số lựa chọn và bạn có thể thử nghiệm một điều khác có thể hữu ích là giao tiếp về giao tiếp nếu một trong hai bạn sử dụng một cụm từ kích hoạt điều gì đó. sớm hơn trong cuộc sống của bạn hoặc thực sự không thoải mái, bạn có thể thảo luận về điều đó. Nếu cô ấy nói những điều nhất định khiến bạn cảm thấy thực sự thoải mái, bạn cũng có thể thảo luận về điều đó. Hy vọng các bạn có thể đồng thời tìm hiểu thêm về bản thân và nhau."
"Cô ấy bận vì mẹ cô ấy luôn bắt cô ấy dọn dẹp và đi chơi cùng gia đình. Chúng tôi không nói chuyện nhiều vì điều đó. Ngoài ra, chúng tôi cũng có ít cãi vã. Chúng tôi muốn giải quyết nó nhưng chúng tôi không biết làm thế nào.","Có lẽ bạn có thể bắt đầu bằng việc dành 15 phút mỗi tuần để biết rằng mình sẽ dành thời gian cho nhau (ngay cả khi cần phải nói chuyện qua điện thoại). Bởi vì khoảng thời gian này có thể được lên lịch trước nên ít nhất bạn cũng biết có khoảng thời gian nào đó đã được dành riêng. Điều đó cũng có thể giúp bạn khơi lại một số cuộc trò chuyện giữa hai người. Đối với những cuộc cãi vã nhỏ của bạn, hãy cân nhắc dành năm phút để một trong hai bạn nói về một vấn đề đáng quan tâm và đối tác kia đặt những câu hỏi mở (không thể trả lời chỉ có hoặc không) và lắng nghe với tư cách là một phóng viên điều tra để cố gắng tìm hiểu thêm về những gì người khác đang trải qua. Sau đó, khi đối tác bắt đầu nói nghĩ rằng đối tác đang lắng nghe đã hiểu họ đang nói gì, hãy chuyển đổi. Bạn cũng nên trình bày lại những gì bạn nghĩ mình đang nghe. Sau đó, bạn biết nhau thực sự đang theo dõi điều gì về điều này. Cũng nên nhớ rằng việc theo dõi hoặc hiểu những gì ai đó đang nói không có nghĩa là đồng ý, chỉ là bạn đang nhận ra những gì họ đang nói và có thể biết họ đến từ đâu. Ngoài ra, hãy cân nhắc việc để ý điều gì khiến bạn cảm thấy có giá trị, đặc biệt, được yêu thương hoặc đánh giá cao. Hãy nghĩ điều tương tự cho bạn gái của bạn. Đây cũng có thể là một cuộc thảo luận tuyệt vời."
"Tôi là một thiếu niên và tôi biết tầm quan trọng của việc học sắp tới của mình. Tuy nhiên, dù tôi có nỗ lực hết sức mình đến đâu thì gia đình tôi vẫn cho rằng tổng cộng tôi chưa nỗ lực gì cả. Tôi có thể làm gì?","Trước hết, tôi rất vui vì bạn đã đăng bài ở đây và tôi rất vui vì bạn nhận ra tầm quan trọng của việc học ở trường. Gia đình bạn lấy đâu ra ý tưởng rằng bạn không nỗ lực? Mặc dù mọi người có thể giải thích ""nỗ lực"" theo cách khác, nhưng khi nói về bài tập ở trường, tôi nghĩ rằng điểm số của bạn sẽ thể hiện nỗ lực mà bạn đã bỏ ra. Nếu bạn đạt điểm cao và bạn nói rằng gia đình bạn không nghĩ điểm của bạn tốt đủ rồi, có thể sẽ có một cuộc trò chuyện mà bạn có thể hỏi họ những gì họ mong đợi ở bạn (và cố gắng lắng nghe mà không tự bào chữa trong vài phút) và sau đó bạn có thể giải thích những gì bạn đang làm để chuẩn bị. Có lẽ bạn có thể đặt giới hạn thời gian để mỗi người có năm phút để thảo luận về vấn đề này (hoặc ít hơn, nếu bạn nghĩ điều đó sẽ tốt hơn). Nếu điểm số của bạn không tốt như bạn mong muốn và bạn đang nỗ lực, tôi vẫn cân nhắc việc tổ chức một cuộc trò chuyện như tôi đã đề cập ở trên và có thể tận dụng lợi thế của việc dạy kèm hoặc các khả năng khác do trường của bạn cung cấp. Để cung cấp thêm một chút thông tin cho bạn, tôi đã làm việc với trẻ em, thanh thiếu niên và người lớn được hơn chín năm. Khi ai đó nói với tôi rằng họ mong muốn con họ học tốt hơn ở trường, tôi luôn hỏi điều đó có nghĩa là gì. Đôi khi điều đó có nghĩa là điểm của họ là D và F. Đối với những gia đình khác, điều đó có nghĩa là điểm xuống dưới 95% và ở gia đình đó, điều đó là không thể chấp nhận được. Nhận thức tạo nên sự khác biệt lớn ở đây. Nếu bạn đang cố gắng hết sức và hoàn thành mục tiêu của mình thì điều đó đáng được ăn mừng."
"Tôi đang cố gắng hàn gắn cuộc hôn nhân sau khi chia tay. Trước khi chia tay, anh ấy đã nói dối rất nhiều và không giữ lời hứa với tôi. Tôi không nghĩ anh ta lừa dối. Tháng trước tôi hỏi phụ nữ làm việc gì với anh ấy thì anh ấy nói với tôi. Hôm qua tôi phát hiện ra một cô gái mà anh ấy nói đã quên. Tôi có nên buồn bã không?","Hãy tưởng tượng người bạn thân nhất của bạn vừa nói với bạn rằng chồng cô ấy luôn nói dối cô ấy và anh ấy đã thất hứa mọi lời hứa với cô ấy. Bạn sẽ nói gì với cô ấy? Nếu tôi là bạn thân nhất của cô ấy, tôi sẽ bảo cô ấy chạy theo hướng khác.&nbsp; Bạn có thể yêu người đàn ông này. Chúng ta không chọn người mình yêu. Nhưng bằng chứng khá rõ ràng phải không?&nbsp; Một mối quan hệ lành mạnh không thể được xây dựng trên nền tảng của sự dối trá và thất hứa. Tôi tin rằng khi trưởng thành, chúng ta luôn được đối xử cũng như chúng ta nhất quyết muốn được đối tác đối xử. Nếu bạn tiếp tục chấp nhận những hành vi không thể chấp nhận được, bạn có thể sẽ phải chứng kiến ​​nhiều hành vi như vậy hơn nữa.&nbsp;"
Tôi không biết phải nói gì. Tôi chưa bao giờ thực sự biết mình là ai.,"Càng lớn lên, tôi càng tin rằng nhiệm vụ thực sự của chúng ta không phải là “tìm thấy” chính mình. Chúng tôi đã ""ở đó"" 100%. Những gì chúng ta phải làm là lưu tâm hơn đến những thời điểm mà chúng ta cảm thấy sống động nhất, hạnh phúc nhất, sáng tạo nhất và gắn kết trọn vẹn nhất với cuộc sống. Chính trong những khoảnh khắc đó chúng ta tìm thấy chính mình. Ví dụ, tôi không thể không yêu những người hoặc những thứ tôi yêu, bất kể ai cố gắng thuyết phục tôi từ bỏ chúng. Tất cả những gì tôi cần làm là chú ý khi trái tim tôi mở ra và tôi cảm thấy tràn đầy sức sống nhất--không phải vì tôi sợ hãi hay nghiện ngập, mà bởi vì trong những khoảnh khắc đó, tôi đã tiếp xúc với cái tôi cao nhất của mình.&nbsp; Mặt khác, tôi cần nhận ra những người và hoạt động luôn khiến tôi cảm thấy tồi tệ nhất--những người khiến tôi cảm thấy bị kiểm soát, bị bó buộc, không trung thực, bực bội hoặc sợ hãi--và thành thật về chúng.&nbsp; Chánh niệm về “những gì đã có” là chìa khóa để tìm thấy chính mình. Hãy liên kết bản thân với những người và hoạt động quan trọng nhất đối với bạn. Đừng để những thói quen cũ, công việc tồi tệ hoặc những người xấu tính định nghĩa bạn. Chỉ cần vấp ngã về phía trước một cách tốt nhất có thể, với sự tự nhận thức cao hơn, theo sau là hành động khẳng định.. &nbsp;&nbsp;"
"Tôi và bạn thân nhất của tôi đang chơi khăm bạn cô ấy, và tôi bảo cô ấy nói với anh ấy rằng cô ấy thích anh ấy. Cô ấy nói không, nhưng tôi ép cô ấy. Sau khi cô nói với anh, anh nói với cô rằng anh cũng thích cô. Tình bạn của họ bị hủy hoại vì tôi. Cô ấy không tha thứ cho tôi và tôi cảm thấy thực sự có lỗi. Tôi cảm thấy như muốn khóc.","Điều này cần có thời gian. Tôi không biết đã bao lâu rồi, nhưng có lẽ nếu bạn của bạn sẵn lòng thảo luận những vấn đề khác với bạn một lúc, bạn có thể thảo luận vấn đề này vào một thời điểm nào đó trong tương lai. Hy vọng rằng ý định thực sự sẽ trở nên rõ ràng (với ý nghĩ rằng đó là một trò đùa). Ngoài ra, tôi khuyến khích bạn xem xét điều này ảnh hưởng đến bạn như thế nào và bạn cảm thấy thế nào về bản thân. Nếu đó chỉ là một trò đùa và nó không thành công thì đó không hoàn toàn là lỗi của bạn. Tôi tự hỏi làm thế nào bạn có thể tha thứ cho chính mình vì những gì đã xảy ra? <ul><li>Bạn có thể so sánh những gì bạn dự định làm với những gì đã thực sự xảy ra không?</li><li>Bạn có nhận thấy rằng không phải mọi thứ xảy ra ở đây đều nằm trong tầm kiểm soát của bạn không?</li><li >Bạn có nhận ra rằng mặc dù bạn muốn mọi thứ trở nên tốt đẹp hơn nhưng nếu bạn của bạn chưa sẵn sàng hoặc chưa sẵn lòng thì bạn đang cố gắng làm phần việc của mình để làm cho điều đó ổn thỏa?</li><li>Có thể là tất cả những ai có liên quan/có liên quan trong điều này có thể nói chuyện cùng nhau cùng một lúc để làm rõ đâu là sự thật và đâu là sự hiểu lầm.</li><li>Tôi tự hỏi liệu bạn có thể nghĩ về những đặc điểm tích cực của riêng mình không (ví dụ: sự trung thực, lòng trắc ẩn, sự đáng tin cậy, tình bạn , người biết lắng nghe, quan tâm) và nhìn vào những gì thực sự tồn tại bên trong bạn thay vì chỉ một điều mà bạn của bạn có thể nhìn thấy ngay lúc này.</li></ul> Điều này có thể thực sự khó khăn vì nhiều lý do, trong đó ít nhất là rằng nó không chỉ liên quan đến bạn, vì vậy điều quan trọng là phải tập trung vào ý tưởng rằng bạn có thể yêu cầu những người khác có liên quan thảo luận về vấn đề đó, nhưng điều đó cuối cùng tùy thuộc vào họ. Lời chúc tốt đẹp nhất khi bạn nhìn thấy những mặt tích cực của bản thân và tình bạn của mình."
Anh trai tôi (ở độ tuổi 60) bắt đầu hẹn hò với một phụ nữ mắc chứng Asperger. Cô ấy là người thích giao tiếp và tán tỉnh. Cô ấy không hiểu ranh giới. Họ đã hẹn hò được vài tháng và cô ấy đang tính chuyện kết hôn. Một người anh chị em khác và vợ của anh ta đã gặp cô ấy và họ nói rằng cô ấy không bao giờ được mời quay lại. Anh trai tôi luôn chọn những người phụ nữ giống nhau. Chúng ta có nói chuyện thành thật và có nguy cơ đánh mất một mối quan hệ không?,"Điều này thật phức tạp và khá tế nhị. Tôi tự hỏi liệu bạn có thể nói chuyện với anh trai mình về việc liệu anh ấy có sẵn lòng thảo luận với bạn về điều gì đó quan trọng đối với bạn không. Tôi cũng khuyên bạn nên cố gắng làm rõ ý định thực sự của mình. Ví dụ: <ul><li>Nói với anh ấy rằng anh ấy có quyền làm những gì anh ấy muốn với người mà anh ấy chọn để hẹn hò</li><li>Rằng bạn nói chuyện với anh ấy về điều này vì bạn quan tâm đến anh ấy</li ><li>Rằng mối quan hệ của bạn với anh ấy rất quan trọng đối với bạn và bạn yêu anh ấy cũng như quan tâm đến anh ấy</li><li>Đồng thời, hãy cố gắng đưa ra những ví dụ hoặc ý tưởng có thể quan sát được một cách khách quan (ví dụ: khi điều này xảy ra ___, Tôi nhận thấy ___). Bằng cách đó, bạn đang sử dụng sự thật thay vì ý kiến ​​và những điều có thể quan sát được thay vì các quyết định cảm xúc chủ quan</li><li>Tôi cũng tò mò không biết anh trai bạn nhìn thấy gì ở cô gái này và thậm chí tôi có thể khuyên bạn nên bắt đầu từ điều đó< /li></ul> Tôi không thể nhấn mạnh đủ tầm quan trọng của việc khiến điều này được coi là chân thật và thiếu từ ngữ nào hay hơn, nhẹ nhàng. Tôi cũng rất thành thật với bạn rằng tôi không thể đảm bảo rằng anh ấy sẽ phản ứng tích cực, trung lập hoặc thậm chí là anh ấy sẽ thảo luận với bạn. Bởi vì đúng là anh ấy có thể chọn tiếp tục hẹn hò với cô gái này và thậm chí có thể chống lại bạn trong một thời gian, tôi cũng khuyến khích bạn xem xét tầm quan trọng của điều này đối với bạn và bạn xem xét tỷ lệ rủi ro-lợi ích ở đâu."
Tôi đã phải ra lệnh cấm đối với chồng sắp cưới của mình. Anh ấy đã được phục vụ tối qua. Anh ta bạo hành tôi về mặt tinh thần và lời nói. Tôi tưởng đó là do thần kinh của mình nhưng mỗi lần đứng lên là tôi lại phát ốm. Nếu tôi ngồi và đá thì tôi ổn.,"Xin chào và cảm ơn vì câu hỏi của bạn. Bạn có thể đúng, các triệu chứng thực thể của cơn đau dạ dày rất có thể là do bạn đang lo lắng hoặc căng thẳng. Điều đó là hoàn toàn bình thường và dễ hiểu với hoàn cảnh của bạn. Một điều không có gì lạ là bạn cảm thấy dễ chịu hơn khi ngồi và đu đưa. Đó thực ra là một cách khá phổ biến được nhiều người tự an ủi mình trong những lúc căng thẳng tột độ. Nếu bạn lo ngại rằng có một căn bệnh thực sự nào đó gây ra những triệu chứng này, bạn có thể đến gặp nhà cung cấp dịch vụ chăm sóc chính của mình. Họ có thể nói với bạn rằng họ không thấy bạn có vấn đề gì về mặt thể chất và khi đó bạn có thể muốn đến gặp chuyên gia tư vấn về các triệu chứng và trải nghiệm trong mối quan hệ của mình. Một cuộc gặp gỡ với nhân viên tư vấn có thể là một ý tưởng hay. Tôi làm cố vấn trong lĩnh vực chăm sóc sức khỏe ban đầu và tôi hứa với bạn rằng nhiều người có những triệu chứng thể chất rất thực tế khi họ bị lạm dụng. Đau bụng và đau đầu không thể giải thích được là rất phổ biến. Đôi khi, nhờ được tư vấn, những triệu chứng thể chất đó thực sự chấm dứt. Hãy khỏe mạnh, và tôi hy vọng bạn sẽ sớm khỏe lại. Robin J. Landwehr, DBH, LPCC, NCC"
"Tôi đang cố gắng hàn gắn cuộc hôn nhân sau khi chia tay. Trước khi chia tay, anh ấy đã nói dối rất nhiều và không giữ lời hứa với tôi. Tôi không nghĩ anh ta lừa dối. Tháng trước tôi hỏi phụ nữ làm việc gì với anh ấy thì anh ấy nói với tôi. Hôm qua tôi phát hiện ra một cô gái mà anh ấy nói đã quên. Tôi có nên buồn bã không?","Đầu tiên tôi sẽ hỏi bạn điều gì đã khiến bạn cho anh ấy một cơ hội khác sau khi anh ấy liên tục nói dối và thất hứa với bạn? &nbsp;Tôi sẽ tưởng tượng nếu anh ấy liên tục nói dối bạn rằng điều đó sẽ làm tổn hại đến khả năng tin tưởng anh ấy của bạn bây giờ. &nbsp;Anh ấy đang điều trị phải không? Anh ấy có nhận ra rằng mình có vấn đề và đang cố gắng sửa chữa nó không? &nbsp;Ngay cả khi anh ấy thực sự quên kể cho bạn nghe về người phụ nữ ở nơi làm việc, tôi nghĩ vấn đề thực sự ở đây chính là SỰ TIN TƯỞNG. &nbsp;Tôi không nói rằng anh ấy không có vấn đề về nói dối. &nbsp;Thay vì hỏi người khác xem bạn có nên buồn bã hay không, hãy tự hỏi bản thân xem bạn thực sự cảm thấy thế nào về anh ấy và tình huống này. &nbsp;"
Tôi và chồng sắp cưới đã chia tay. Anh đã lừa dối tôi rất nhiều lần. Tôi tiếp tục tha thứ nhưng thắc mắc mọi hành động của anh ấy. Anh ấy mệt mỏi và rời đi.,"nếu anh ấy lừa dối bạn nhiều lần thì việc bạn tiếp tục gặp anh ấy là không tốt cho sức khỏe. &nbsp;Tuy nhiên&nbsp;<span style=""color: rgb(51, 51, 51); -webkit-text-size- adjustment: 100%; màu nền: rgba(255, 255, 255, 0);"">Nó cần có thời gian để chữa lành nỗi đau của bạn. Bạn không phải là một con robot có thể tắt cảm xúc của mình.&nbsp; Hãy ở cạnh những người có thể hỗ trợ và trao quyền cho bạn.&nbsp;</span>"
"Cô ấy đã nói dối về mọi khía cạnh của cuộc sống. Cô ấy đã tạo ra ba mối quan hệ giả tạo. Vụ gần đây nhất gây lo ngại vì cô ấy có những bức ảnh, cuộc gọi điện thoại và tin nhắn giả mạo và đó là với một người đàn ông đã có gia đình và có con. Lời nói dối của cô ấy đang trở nên nguy hiểm vì cô ấy có thể hủy hoại cuộc sống.",Hãy trò chuyện thành thật và cởi mở với cô ấy về việc hành vi của cô ấy đang tác động tiêu cực như thế nào đến bạn (và những người khác). &nbsp;Bạn sẽ cảm thấy vui khi biết mình đã làm điều đúng đắn. &nbsp;
"Tôi là một cô gái đồng tính tuổi teen và đang yêu một cô gái hơn tôi vài tuổi. Cô ấy cũng yêu tôi, nhưng hiện tại chúng tôi không ở bên nhau về mặt thể xác. Tôi cũng đã sớm nghĩ đến việc chuyển giới nhưng gia đình không chấp nhận nên thực lòng tôi không biết phải làm gì vì tôi cảm thấy mình phải liên tục che giấu con người thật của mình. Thật đau đớn khi phải che giấu con người thật của tôi. Tôi có thể làm gì?","Họ có thể sẽ hữu ích nếu nói chuyện với chuyên gia sức khỏe tâm thần ở địa phương về vấn đề này, không phải vì con người thật của bạn có vấn đề gì mà vì việc trò chuyện như vậy có thể khó khăn và bạn có thể chọn nói về con người thật của mình theo những cách khác nhau với những người khác nhau. . Có lẽ bạn có thể nói về mối quan tâm của mình với người ấy và thảo luận về những cách khác nhau mà bạn có thể thảo luận về mối quan hệ của mình sao cho phù hợp với cách mỗi người xác định tình yêu của mình dành cho nhau. Bởi vì bạn đang công khai nói rằng bạn là người đồng tính và có vẻ như bạn đã tự nhận mình là người đồng tính, so với việc cân nhắc việc chuyển giới ""sớm"", có thể đáng cân nhắc việc tiết lộ sự thật rằng bạn hiện là người đồng tính và tiết lộ ý kiến ​​rằng bạn là người chuyển giới sau khi bạn đã tự mình vượt qua điều đó. Tôi muốn bạn có thể thành thật với chính mình và thể hiện con người thật của bạn. Cũng có thể bạn đã biết mình là người chuyển giới, nhưng với cách bạn diễn đạt ở đây, tôi không chắc chắn. Đây là đường dẫn tới đường dây nóng mà bạn có thể cân nhắc sử dụng. Dự án Trevor nhằm giúp đỡ những thanh thiếu niên được xác định là LGBTQ:&nbsp;http://www.thetrevorproject.org/ Đây là một trang web quốc gia khác mà bạn có thể tìm thấy một chi hội địa phương:&nbsp;https://www.pflag. org/ Tôi không biết ý bạn là gì khi nói rằng gia đình bạn sẽ không chấp nhận bạn, nhưng vì bạn lo lắng về phản ứng của gia đình mình nên tôi khuyên bạn nên có một nhà trị liệu hoặc một số hỗ trợ khác trước đó. kể với gia đình bạn. Quyết định có nên đợi lâu hơn để nói với họ hay không cuối cùng là thuộc về bạn, nhưng tôi tự hỏi liệu bạn có khả năng giải thích những gì bạn đang trải qua theo cách chân thực hơn với bạn và có lẽ cũng dễ dàng hơn cho gia đình bạn làm theo nếu bạn đã có thời gian để xử lý nó với những người hỗ trợ trước. Xin hãy nhớ rằng bạn không đơn độc trong việc này. Có những người trên thế giới có thể và sẽ chấp nhận con người thật của bạn."
Đây là quá trình hồi phục của tôi và tôi cảm thấy không ổn khi họ hỏi điều này. Họ nói với tôi rằng đó là chính sách vì tôi có thể gặp một người bạn ở đó. Tôi là cố vấn ngang hàng trong cộng đồng nhỏ nơi tôi lớn lên. Bản thân tôi cũng đang trong quá trình hồi phục. Tôi được mời đến làm việc cho tổ chức này sau khi tôi cai rượu được hai năm (tôi đang điều trị ở tổ chức này). Tôi làm việc với các đồng nghiệp về sức khỏe tâm thần và điều hành các nhóm kỹ năng sống. Tôi không làm việc với những người đồng nghiệp có chất lượng.,"Xin chào và cảm ơn vì câu hỏi của bạn. Tôi biết rằng nơi làm việc có quyền yêu cầu một số hành vi nhất định từ nhân viên của họ. Ví dụ: họ có thể yêu cầu bạn cho họ biết nếu bạn gặp rắc rối pháp lý nào đó. Nhưng tình huống này có vẻ hoàn toàn khác. Có một điều, các cuộc họp 12 bước được cho là ẩn danh. Tôi không chắc làm sao họ biết bạn đã tham dự trừ khi bạn hoặc người khác nói với họ. Tôi đồng ý rằng nó có vẻ giống như vượt qua một ranh giới. Thông thường mỗi tiểu bang có một văn phòng quản lý các khiếu nại liên quan đến việc làm, chẳng hạn như Bộ Lao động hoặc EEOC. Bạn có thể muốn xem thực thể nào ở tiểu bang của bạn và liên hệ với họ. Sẽ rất đáng để hỏi họ xem liệu đây có phải là một hành vi hợp pháp hay không. Nếu đúng như vậy nhưng bạn vẫn muốn/cần tiếp tục làm công việc này thì bạn có thể muốn tìm kiếm những nguồn hỗ trợ thay thế cho việc tỉnh táo của mình. Có những nhóm hỗ trợ trực tuyến tích cực cho phép bạn thực hiện mọi việc một cách riêng tư tại nhà. SMART Recovery http://www.smartrecovery.org/ là trang web được nhiều người yêu thích. Ngoài ra còn có các nhóm trực tuyến thảo luận cụ thể về 12 bước. Dù thế nào đi chăng nữa, tôi vẫn ghi nhận rất nhiều công lao của bạn vì đã cố gắng hết sức để giữ tỉnh táo và tiếp tục thấy giá trị của việc được hỗ trợ. Robin J. Landwehr, DBH, LPCC, NCC"
